Date;Open;High;Low;Close;Adj Close;Volume
01/12/2015;55,41;56,650002;54,939999;56,299999;54,769508;3583400
02/12/2015;56,549999;56,869999;54,860001;56,220001;54,691685;5383600
03/12/2015;56,900002;58,25;56,18;56,75;55,207279;3940500
04/12/2015;56,25;57,48;55,830002;57,220001;55,664501;2943500
07/12/2015;57,23;58,240002;57,209999;57,889999;56,316284;2726700
08/12/2015;57,889999;58,099998;56,369999;57,630001;56,063358;2778600
09/12/2015;57,990002;58,599998;57,689999;58,02;56,442753;2821000
10/12/2015;58,5;58,880001;56,880001;57,599998;56,034172;2832000
11/12/2015;57,09;57,849998;56,540001;57,509998;55,946613;2507900
14/12/2015;57,099998;58,130001;56,75;57,099998;55,547764;2873300
15/12/2015;57,189999;57,400002;56,040001;56,549999;55,012711;1826300
16/12/2015;55,959999;56,959999;55,150002;56,959999;55,411568;2383500
17/12/2015;57,68;58,639999;57,060001;57,349998;55,790966;2231000
18/12/2015;56,630001;57,950001;56,459999;57,23;55,674229;3363400
21/12/2015;57,099998;58,689999;56,91;58;56,423298;3736400
22/12/2015;58,09;59,529999;57,720001;59,02;57,415569;3466700
23/12/2015;59,43;60,25;58,810001;59,110001;57,50312;1528400
28/12/2015;59,25;59,27;58,16;59,029999;57,425293;1687800
29/12/2015;58,740002;59,240002;57,25;57,349998;55,790966;1104100
30/12/2015;57,349998;57,740002;55,400002;55,400002;53,893978;5513900
04/01/2016;54,400002;55,349998;53,41;54,220001;53,418472;3986600
05/01/2016;54,209999;55,299999;54,099998;55,25;54,433247;2129900
06/01/2016;54,400002;54,849998;53,59;54,150002;53,349506;2218500
07/01/2016;53,470001;53,709999;52,02;52,02;51,250996;2957300
08/01/2016;52,259998;53,23;51,709999;53,02;52,23621;2615900
11/01/2016;53;54,380001;51,779999;51,779999;51,014538;2041700
12/01/2016;52,130001;52,330002;49,810001;50,27;49,526863;2907900
13/01/2016;50,619999;50,77;49,450001;49,580002;48,847065;2060100
14/01/2016;49,509998;50,27;48,810001;49,509998;48,778095;1241000
15/01/2016;48,5;48,93;47,220001;48,049999;47,339684;3193000
18/01/2016;47,91;48,470001;46,59;46,73;46,039192;1950200
19/01/2016;47,700001;47,82;46,34;47,150002;46,452988;1966300
20/01/2016;46,669998;47,41;46,060001;47;46,305202;2349700
21/01/2016;47,150002;47,25;46,049999;47;46,305202;1744400
22/01/2016;47,299999;47,700001;46,490002;47;46,305202;2267600
26/01/2016;46,93;46,93;45,619999;45,619999;44,945602;2506300
27/01/2016;45,619999;46,639999;45,349998;46,540001;45,852001;4072200
28/01/2016;46,77;47,18;45,73;46,150002;45,46777;1832500
29/01/2016;46,59;48,619999;46,59;48,23;47,517021;3133700
01/02/2016;47,889999;48,950001;47,810001;48,630001;47,911106;1781400
02/02/2016;47,549999;48,759998;47,450001;47,849998;47,142635;2123600
03/02/2016;48,259998;49,580002;47,880001;49,349998;48,620461;2549300
04/02/2016;50,490002;50,75;49,080002;49,93;49,191891;2683500
05/02/2016;49,91;51,709999;49,41;50,810001;50,05888;2031800
10/02/2016;50,990002;51,220001;50,290001;50,700001;49,950508;890000
11/02/2016;50,09;50,279999;49,029999;49,669998;48,93573;2300400
12/02/2016;50,25;50,93;49,330002;50,700001;49,950508;1520900
15/02/2016;51,599998;51,880001;51,16;51,16;50,403709;1041400
16/02/2016;51,16;52,240002;50,59;52,110001;51,339661;1620000
17/02/2016;52,759998;52,970001;51,700001;52,279999;51,507145;2962500
18/02/2016;52,27;53,77;51,650002;53,259998;52,47266;1920700
19/02/2016;52,889999;54,259998;52,5;53,709999;52,916008;1484900
22/02/2016;54,689999;55,91;54,669998;55,5;54,679546;3152500
23/02/2016;55,790001;56,279999;54,869999;55,5;54,679546;2254400
24/02/2016;54,5;54,939999;53,720001;54,939999;54,127827;1798200
25/02/2016;54,57;55,110001;53,560001;54,16;53,359356;2181000
26/02/2016;51,900002;51,959999;49,18;50;49,260853;5666200
29/02/2016;50,52;52,009998;50,049999;51,400002;50,64016;5432600
01/03/2016;51,5;53,57;51,5;52,91;52,127834;2574500
02/03/2016;53,080002;53,400002;52,080002;52,529999;51,753452;2433200
03/03/2016;53,25;53,41;52,009998;52,720001;51,940647;3435000
04/03/2016;53,200001;53,759998;50,77;52,189999;51,41848;4386000
07/03/2016;52,68;53,990002;52,139999;52,860001;52,078575;2958300
08/03/2016;52,990002;53,5;51,349998;52,450001;51,674637;3522700
09/03/2016;52,950001;53,5;52,119999;53,5;52,709114;3530700
10/03/2016;53,700001;54,290001;52,619999;53,740002;52,945568;3085900
11/03/2016;53,509998;54,130001;52,450001;52,5;51,841343;2738100
14/03/2016;52,900002;53,299999;51,939999;52,549999;51,890717;1528100
15/03/2016;51,98;52,720001;51,73;52,400002;51,742599;1842900
16/03/2016;52,34;53,150002;51,599998;52,889999;52,226452;1918900
17/03/2016;53,5;55,200001;53,220001;54,290001;53,608887;4262300
18/03/2016;54,560001;55;53,509998;54,099998;53,421268;2412400
21/03/2016;54,130001;55,310001;54,09;55,310001;54,616093;1721800
22/03/2016;55,41;55,91;54,950001;55,240002;54,54697;1732800
23/03/2016;54,610001;55,200001;52,419998;52,419998;51,762344;2722200
24/03/2016;52;52,580002;51,790001;52,119999;51,46611;1304200
28/03/2016;53;53,720001;52,529999;53,279999;52,611557;1660700
29/03/2016;53,849998;54,040001;52,939999;53,630001;52,957169;1506400
30/03/2016;54,169998;54,23;52,68;53,009998;52,344944;1962200
31/03/2016;51,310001;51,310001;51,310001;51,310001;50,666275;3100
01/04/2016;51;51,830002;50,59;51,599998;50,952633;22700
04/04/2016;51,59;51,59;49,68;49,990002;49,362835;6400
05/04/2016;49,549999;50,59;49,549999;50,16;49,530701;8600
06/04/2016;49,66;50,549999;49,599998;50,009998;49,38258;4800
07/04/2016;50,52;50,790001;49,860001;50,049999;49,422081;4300
08/04/2016;50,959999;51,360001;49,490002;49,650002;49,0271;1842200
11/04/2016;48,380001;48,380001;48,380001;48,380001;47,773033;14300
12/04/2016;48,450001;49,32;47,950001;48,290001;47,684162;3300
13/04/2016;49,290001;49,290001;48,049999;48,07;47,466923;25700
14/04/2016;48,18;48,990002;47,900002;48,040001;47,437298;2862600
15/04/2016;48,080002;49,349998;48;49,299999;48,681492;2721500
