Date;Open;High;Low;Close;Adj Close;Volume
01/12/2015;7.500.000;7.630.000;7.350.000;7.510.000;6.085.076;5621300
02/12/2015;7.460.000;7.920.000;7.460.000;7.870.000;6.376.770;3585700
03/12/2015;8.000.000;8.280.000;7.880.000;7.880.000;6.384.873;9274900
04/12/2015;7.980.000;7.980.000;7.620.000;7.710.000;6.247.128;4497900
07/12/2015;7.760.000;7.840.000;7.540.000;7.740.000;6.271.436;4981300
08/12/2015;7.690.000;7.890.000;7.620.000;7.750.000;6.279.539;11314500
09/12/2015;7.770.000;8.190.000;7.770.000;7.900.000;6.401.079;4830000
10/12/2015;7.850.000;7.960.000;7.720.000;7.890.000;6.392.975;3308900
11/12/2015;7.830.000;7.990.000;7.800.000;7.900.000;6.401.079;2714900
14/12/2015;7.860.000;7.930.000;7.610.000;7.710.000;6.247.128;2115800
15/12/2015;7.660.000;7.850.000;7.580.000;7.820.000;6.336.257;1701600
16/12/2015;7.750.000;7.830.000;7.520.000;7.810.000;6.328.154;2019500
17/12/2015;7.860.000;8.150.000;7.810.000;7.840.000;6.352.462;1396200
18/12/2015;7.780.000;7.850.000;7.450.000;7.560.000;6.125.588;3938800
21/12/2015;7.550.000;7.650.000;7.450.000;7.500.000;6.076.973;2000900
22/12/2015;7.460.000;7.580.000;7.350.000;7.420.000;6.012.152;1153300
23/12/2015;7.430.000;7.500.000;7.290.000;7.400.000;5.995.947;1482300
28/12/2015;7.430.000;7.500.000;7.380.000;7.430.000;6.020.255;807000
29/12/2015;7.410.000;7.480.000;7.340.000;7.400.000;5.995.947;680700
30/12/2015;7.360.000;7.500.000;7.090.000;7.500.000;6.076.973;2529700
04/01/2016;7.400.000;7.460.000;7.150.000;7.280.000;5.898.716;1277300
05/01/2016;7.250.000;7.610.000;7.250.000;7.610.000;6.166.102;1560700
06/01/2016;7.550.000;7.550.000;7.270.000;7.320.000;5.931.126;3183700
07/01/2016;7.270.000;7.390.000;7.060.000;7.360.000;5.963.536;5752100
08/01/2016;7.300.000;7.510.000;7.250.000;7.500.000;6.076.973;1059700
11/01/2016;7.500.000;7.520.000;7.350.000;7.490.000;6.068.870;1463300
12/01/2016;7.450.000;7.600.000;7.340.000;7.540.000;6.109.384;1932500
13/01/2016;7.510.000;7.740.000;7.490.000;7.590.000;6.149.897;1490500
14/01/2016;7.540.000;7.630.000;7.390.000;7.450.000;6.036.460;2466400
15/01/2016;7.390.000;7.440.000;7.120.000;7.250.000;5.874.407;2358400
18/01/2016;7.170.000;7.240.000;6.980.000;7.130.000;5.777.175;1618900
19/01/2016;7.200.000;7.380.000;7.180.000;7.300.000;5.914.920;1246100
20/01/2016;7.180.000;7.300.000;7.050.000;7.220.000;5.850.099;1046000
21/01/2016;7.170.000;7.460.000;7.140.000;7.300.000;5.914.920;2429100
22/01/2016;7.340.000;7.600.000;7.160.000;7.210.000;5.841.997;1621200
26/01/2016;7.160.000;7.200.000;6.950.000;6.950.000;5.631.329;1884900
27/01/2016;6.900.000;7.220.000;6.860.000;7.210.000;5.841.997;1504900
28/01/2016;7.160.000;7.200.000;6.940.000;7.050.000;5.712.355;1819900
29/01/2016;7.060.000;7.180.000;6.930.000;7.150.000;5.793.381;2957100
01/02/2016;7.200.000;7.340.000;7.110.000;7.300.000;5.914.920;1247900
02/02/2016;7.280.000;7.360.000;7.100.000;7.350.000;5.955.433;2160600
03/02/2016;7.400.000;7.530.000;7.250.000;7.350.000;5.955.433;2109000
04/02/2016;7.400.000;7.700.000;7.380.000;7.600.000;6.157.999;3053600
05/02/2016;7.550.000;7.930.000;7.550.000;7.910.000;6.409.181;2573200
10/02/2016;7.800.000;7.950.000;7.750.000;7.940.000;6.433.489;1691900
11/02/2016;7.880.000;7.930.000;7.690.000;7.770.000;6.295.744;1640200
12/02/2016;7.830.000;7.870.000;7.670.000;7.800.000;6.320.053;1156500
15/02/2016;7.840.000;8.010.000;7.830.000;7.900.000;6.401.079;946700
16/02/2016;7.930.000;8.180.000;7.910.000;8.150.000;6.603.644;2369200
17/02/2016;8.190.000;8.320.000;8.020.000;8.120.000;6.579.335;1798100
18/02/2016;8.060.000;8.180.000;7.930.000;8.000.000;6.482.105;1156800
19/02/2016;8.000.000;8.170.000;8.000.000;8.130.000;6.587.439;1091500
22/02/2016;8.240.000;8.400.000;8.190.000;8.220.000;6.660.362;1218800
23/02/2016;8.200.000;8.320.000;8.030.000;8.030.000;6.506.413;1263300
24/02/2016;7.960.000;8.070.000;7.850.000;8.000.000;6.482.105;1540800
25/02/2016;7.940.000;8.130.000;7.810.000;7.980.000;6.465.899;1184100
26/02/2016;8.040.000;8.340.000;7.950.000;8.150.000;6.603.644;1097500
29/02/2016;8.290.000;8.380.000;8.100.000;8.200.000;6.644.156;3025700
01/03/2016;8.260.000;8.440.000;8.210.000;8.390.000;6.798.107;2191200
02/03/2016;8.470.000;8.480.000;8.080.000;8.080.000;6.546.925;4445900
03/03/2016;8.120.000;8.870.000;8.120.000;8.510.000;6.895.339;6494700
04/03/2016;9.900.000;9.900.000;8.720.000;9.300.000;7.535.446;10292900
07/03/2016;9.370.000;9.560.000;9.250.000;9.500.000;7.697.499;4641300
08/03/2016;9.500.000;9.850.000;9.320.000;9.680.000;7.843.347;5110800
09/03/2016;9.750.000;10.160.000;9.550.000;9.650.000;7.819.037;6555400
10/03/2016;9.720.000;10.410.000;9.700.000;10.390.000;8.418.633;5108000
11/03/2016;10.310.000;10.380.000;10.160.000;10.250.000;8.305.197;3417200
14/03/2016;10.310.000;10.450.000;9.920.000;10.120.000;8.199.862;2299500
15/03/2016;9.980.000;9.980.000;9.260.000;9.400.000;7.616.473;5186800
16/03/2016;9.390.000;10.100.000;9.330.000;9.960.000;8.070.220;3863000
17/03/2016;10.680.000;10.970.000;10.480.000;10.970.000;8.888.587;7620900
18/03/2016;11.050.000;11.100.000;10.810.000;11.100.000;8.993.919;8642000
21/03/2016;11.180.000;11.180.000;10.870.000;11.050.000;8.953.407;2751700
22/03/2016;11.100.000;11.180.000;10.600.000;10.600.000;8.588.789;3185100
23/03/2016;10.480.000;10.540.000;10.200.000;10.350.000;8.386.223;3247500
24/03/2016;9.900.000;10.170.000;9.550.000;9.910.000;8.029.706;5811000
28/03/2016;10.010.000;10.550.000;10.010.000;10.500.000;8.507.762;4508900
29/03/2016;10.540.000;10.840.000;10.360.000;10.670.000;8.645.507;4796200
30/03/2016;10.810.000;11.180.000;10.340.000;10.680.000;8.653.610;4063600
31/03/2016;10.600.000;10.640.000;10.200.000;10.430.000;8.451.044;4100
01/04/2016;10.400.000;10.550.000;10.190.000;10.450.000;8.467.249;1300100
04/04/2016;10.340.000;10.650.000;10.080.000;10.210.000;8.272.787;3900
05/04/2016;10.060.000;10.390.000;10.030.000;10.170.000;8.240.376;5100
06/04/2016;10.020.000;10.240.000;9.850.000;9.850.000;7.981.091;2600
07/04/2016;9.800.000;9.800.000;9.800.000;9.800.000;7.940.578;5300
08/04/2016;10.150.000;10.500.000;10.040.000;10.310.000;8.353.812;2864200
11/04/2016;10.460.000;10.460.000;10.070.000;10.070.000;8.159.350;1469200
12/04/2016;10.190.000;10.520.000;10.120.000;10.430.000;8.451.044;1300
13/04/2016;10.690.000;10.940.000;10.500.000;10.600.000;8.588.789;9000
14/04/2016;10.710.000;10.830.000;10.200.000;10.200.000;8.264.684;2159600
15/04/2016;10.360.000;10.700.000;10.210.000;10.620.000;8.604.993;4908500
18/04/2016;10.710.000;10.880.000;10.470.000;10.600.000;8.588.789;1408400
19/04/2016;10.670.000;11.120.000;10.670.000;10.980.000;8.896.688;1700
20/04/2016;10.910.000;10.990.000;10.480.000;10.530.000;8.532.071;2691500
22/04/2016;10.400.000;10.450.000;10.130.000;10.300.000;8.345.709;3200400
25/04/2016;10.360.000;10.650.000;10.290.000;10.440.000;8.459.145;876400
26/04/2016;10.600.000;10.600.000;10.400.000;10.470.000;8.483.454;674300
27/04/2016;10.600.000;10.940.000;10.500.000;10.750.000;8.710.327;2154400
28/04/2016;10.690.000;10.890.000;10.620.000;10.790.000;8.742.739;1725800
29/04/2016;10.620.000;10.720.000;10.230.000;10.270.000;8.542.424;1609800
02/05/2016;10.330.000;10.330.000;9.970.000;10.040.000;8.351.113;1213300
03/05/2016;9.900.000;10.070.000;9.900.000;9.970.000;8.292.889;1077000
04/05/2016;9.910.000;10.110.000;9.780.000;10.010.000;8.326.160;1636000
05/05/2016;10.050.000;10.350.000;10.010.000;10.010.000;8.326.160;1210800
06/05/2016;10.040.000;10.180.000;9.870.000;10.120.000;8.417.656;615800
09/05/2016;10.040.000;10.110.000;9.870.000;9.970.000;8.292.889;1988500
10/05/2016;10.060.000;10.480.000;10.060.000;10.300.000;8.567.377;3881000
11/05/2016;10.440.000;10.810.000;10.250.000;10.800.000;8.983.270;5335800
12/05/2016;10.890.000;11.190.000;10.740.000;11.160.000;9.282.711;2559700
13/05/2016;11.200.000;11.400.000;10.910.000;11.250.000;9.357.573;3091200
16/05/2016;11.390.000;11.400.000;10.970.000;11.120.000;9.249.440;2285200
17/05/2016;11.130.000;11.210.000;10.780.000;10.830.000;9.008.223;1402700
18/05/2016;10.810.000;10.860.000;10.470.000;10.590.000;8.808.595;2957400
19/05/2016;10.450.000;10.610.000;10.200.000;10.350.000;8.608.967;2139100
20/05/2016;10.340.000;10.510.000;9.960.000;10.010.000;8.326.160;2337600
23/05/2016;9.810.000;10.040.000;9.740.000;9.900.000;8.234.665;1761200
24/05/2016;9.900.000;10.150.000;9.830.000;9.840.000;8.184.756;1519400
25/05/2016;9.850.000;10.080.000;9.620.000;9.690.000;8.059.989;1331200
27/05/2016;9.600.000;9.810.000;9.500.000;9.660.000;8.035.035;1701100
30/05/2016;9.780.000;9.780.000;9.500.000;9.630.000;8.010.082;667500
31/05/2016;9.550.000;9.800.000;9.510.000;9.600.000;7.985.129;2877900
01/06/2016;9.610.000;9.840.000;9.450.000;9.840.000;8.184.756;1850400
02/06/2016;9.900.000;9.990.000;9.660.000;9.900.000;8.234.665;2493800
03/06/2016;9.990.000;10.480.000;9.900.000;10.320.000;8.584.013;2565300
06/06/2016;10.350.000;10.530.000;10.190.000;10.300.000;8.567.377;1640400
07/06/2016;10.220.000;10.340.000;10.020.000;10.160.000;8.450.927;1752700
08/06/2016;10.220.000;10.880.000;10.070.000;10.700.000;8.900.090;3328500
09/06/2016;10.600.000;10.970.000;10.600.000;10.780.000;8.966.634;1382500
10/06/2016;10.760.000;10.800.000;10.400.000;10.450.000;8.692.145;1801100
13/06/2016;10.290.000;10.400.000;10.110.000;10.320.000;8.584.013;1544100
14/06/2016;10.290.000;10.400.000;9.960.000;10.020.000;8.334.479;1561400
15/06/2016;10.000.000;10.210.000;9.900.000;10.000.000;8.317.842;2708100
16/06/2016;9.870.000;10.110.000;9.830.000;10.000.000;8.317.842;2253500
17/06/2016;10.110.000;10.150.000;9.930.000;9.940.000;8.267.935;1635500
20/06/2016;10.110.000;10.500.000;10.110.000;10.230.000;8.509.152;1724300
21/06/2016;10.260.000;10.560.000;10.070.000;10.560.000;8.783.641;2307900
22/06/2016;10.600.000;10.720.000;10.420.000;10.450.000;8.692.145;2446000
23/06/2016;10.480.000;10.790.000;10.360.000;10.750.000;8.941.680;2900100
24/06/2016;10.430.000;10.630.000;9.910.000;9.920.000;8.251.299;6474200
27/06/2016;10.000.000;10.020.000;9.660.000;9.730.000;8.093.261;1910300
28/06/2016;9.950.000;9.970.000;9.540.000;9.750.000;8.109.897;3411100
29/06/2016;9.800.000;10.210.000;9.770.000;10.100.000;8.401.020;2674300
30/06/2016;10.180.000;10.350.000;10.120.000;10.290.000;8.559.060;2597500
