Date;Open;High;Low;Close;Adj Close;Volume
01/12/15;8,09;8,095;7,9;7,95;6,036798;216400
02/12/15;7,95;8,05;7,895;7,96;6,044391;261200
03/12/15;8,085;8,13;7,95;8;6,074765;568000
04/12/15;7,975;8,075;7,93;8;6,074765;174800
07/12/15;7,995;8,04;7,945;8;6,074765;113000
08/12/15;7,925;8;7,91;7,91;6,006423;145000
09/12/15;8;8,055;7,925;7,975;6,05578;224000
10/12/15;7,93;8,03;7,805;7,805;5,926692;104200
11/12/15;7,8;7,835;7,65;7,725;5,865945;263600
14/12/15;7,76;7,795;7,5;7,5;5,695092;178400
15/12/15;7,59;7,63;7,525;7,6;5,771027;727600
16/12/15;7,55;7,725;7,53;7,725;5,865945;253200
17/12/15;7,735;7,785;7,66;7,66;5,816587;204400
18/12/15;7,62;7,645;7,32;7,625;5,79001;446800
21/12/15;7,56;7,63;7,39;7,4;5,619158;578400
22/12/15;7,425;7,67;7,35;7,55;5,733059;237000
23/12/15;7,595;7,63;7,49;7,5;5,695092;355600
28/12/15;7,5;7,55;7,4;7,475;5,676108;521200
29/12/15;7,5;7,675;7,5;7,675;5,827978;118800
30/12/15;7,695;8;7,64;8;6,074765;487000
04/01/16;7,85;7,895;7,58;7,625;5,79001;534600
05/01/16;7,71;7,725;7,435;7,715;5,858352;801200
06/01/16;7,655;7,78;7,635;7,675;5,827978;503400
07/01/16;7,64;7,705;7,505;7,685;5,83557;566000
08/01/16;7,695;7,725;7,475;7,715;5,858352;456800
11/01/16;7,715;7,765;7,63;7,67;5,824182;206200
12/01/16;7,79;7,875;7,51;7,51;5,702685;218200
13/01/16;7,55;7,66;7,475;7,525;5,714076;234400
14/01/16;7,505;7,65;7,465;7,525;5,714076;201600
15/01/16;7,595;7,595;7,5;7,5;5,695092;236800
18/01/16;7,52;7,575;7,26;7,26;5,512849;157800
19/01/16;7,27;7,5;7,26;7,5;5,695092;305800
20/01/16;7,37;7,425;7,265;7,4;5,619158;303600
21/01/16;7,265;7,385;7,2;7,27;5,520443;366200
22/01/16;7,24;7,27;7,11;7,175;5,448305;396600
26/01/16;7,175;7,285;7;7,035;5,341997;417000
27/01/16;7,055;7,155;7,03;7,125;5,410337;244000
28/01/16;7,105;7,195;7,035;7,035;5,341997;227200
29/01/16;7,095;7,345;7,095;7,3;5,543223;664800
01/02/16;7,295;7,5;7,235;7,47;5,67231;528600
02/02/16;7,455;7,53;7,4;7,45;5,657124;125800
03/02/16;7,45;7,465;7,255;7,35;5,58119;298600
04/02/16;7,33;7,42;7,185;7,185;5,455899;251200
05/02/16;7,25;7,445;7,205;7,325;5,562206;314600
10/02/16;7,2;7,455;7,17;7,21;5,474881;449600
11/02/16;7,2;7,245;7,1;7,17;5,444507;229000
12/02/16;7,2;7,25;7,1;7,25;5,505256;59400
15/02/16;7,25;7,495;7,205;7,495;5,691295;363200
16/02/16;7,475;7,605;7,35;7,605;5,774823;538800
17/02/16;7,53;7,625;7,52;7,55;5,733059;238400
18/02/16;7,555;7,625;7,48;7,56;5,740654;303400
19/02/16;7,57;7,655;7,555;7,625;5,79001;437600
22/02/16;7,75;7,85;7,695;7,695;5,843164;446400
23/02/16;7,7;7,78;7,665;7,73;5,869741;295200
24/02/16;7,66;7,775;7,45;7,725;5,865945;145000
25/02/16;7,6;8,05;7,465;7,955;6,040594;702400
26/02/16;8;8,05;7,95;7,95;6,036798;185600
29/02/16;7,995;8,15;7,96;8,15;6,188666;326400
01/03/16;8,17;8,17;8,005;8,06;6,120326;1668000
02/03/16;8,1;8,54;8,02;8,525;6,473421;894800
03/03/16;8,43;8,75;8,43;8,75;6,644274;434400
04/03/16;8,755;9,225;8,755;9;6,834111;1494200
07/03/16;9,135;9,185;8,995;9,025;6,853094;633400
08/03/16;9,03;9,265;8,95;9,225;7,004963;1036000
09/03/16;9,27;9,395;9,21;9,395;7,134053;794000
10/03/16;9,47;9,83;9,41;9,725;7,384636;576200
11/03/16;9,765;9,96;9,585;9,825;7,46057;495000
14/03/16;10,095;10,29;9,86;9,95;7,555488;478800
15/03/16;9,8;9,97;9,685;9,875;7,498538;957200
16/03/16;9,875;9,96;9,55;9,74;7,396027;792600
17/03/16;10,055;10,27;9,63;9,655;7,331482;548400
18/03/16;9,74;9,835;9,45;9,725;7,384636;658600
21/03/16;9,98;10,16;9,655;10,005;7,597253;604000
22/03/16;10,05;10,45;10,015;10,32;7,836446;638400
23/03/16;10,205;10,575;10,065;10,5;7,973128;1234400
24/03/16;10,485;10,485;10,2;10,285;7,809868;763800
28/03/16;10,39;10,755;10,25;10,365;7,870615;724600
29/03/16;10,38;10,675;10,295;10,35;7,859229;1086000
30/03/16;10,45;11,28;10,31;10,85;8,2389;1242600
31/03/16;10,75;11,005;10,49;10,775;8,181948;785400
01/04/16;10,65;10,89;10,435;10,515;7,984519;592600
04/04/16;10,35;10,87;10,33;10,715;8,136388;1540400
05/04/16;10,76;11,19;10,66;11,12;8,443921;494800
06/04/16;11,175;11,175;10,865;10,95;8,314834;569800
07/04/16;10,82;11,375;10,82;11,15;8,466705;572200
08/04/16;11,255;11,385;11,075;11,3;8,580605;640400
11/04/16;11,3;11,455;10,92;10,95;8,416635;659800
12/04/16;11,005;11,1;10,865;11;8,455068;432800
13/04/16;11,06;11,13;10,66;10,78;8,285964;807600
14/04/16;10,72;10,845;10,305;10,6;8,147609;1480200
15/04/16;10,46;11,33;10,365;10,965;8,428164;1484800
18/04/16;10,885;11,22;10,79;11,17;8,585736;1334400
19/04/16;11,105;11,82;10,95;11,59;8,908565;910800
20/04/16;11,585;11,925;11,29;11,57;8,893193;606000
22/04/16;11,63;11,86;11,125;11,7;8,993116;616000
25/04/16;11,49;11,685;11,265;11,425;8,781741;769800
