Date;Open;High;Low;Close;Adj Close;Volume
01/12/2015;3,42;3,43;3,33;3,37;3,37;648400
02/12/2015;3,41;3,53;3,36;3,47;3,47;1258500
03/12/2015;3,55;3,7;3,5;3,57;3,57;1013100
04/12/2015;3,52;3,52;3,39;3,49;3,49;783100
07/12/2015;3,49;3,54;3,4;3,44;3,44;313900
08/12/2015;3,45;3,48;3,37;3,41;3,41;439900
09/12/2015;3,36;3,51;3,33;3,51;3,51;959600
10/12/2015;3,47;3,48;3,34;3,34;3,34;490000
11/12/2015;3,35;3,38;3,31;3,33;3,33;605100
14/12/2015;3,4;3,4;3,15;3,35;3,35;1780200
15/12/2015;3,36;3,36;3,23;3,24;3,24;746900
16/12/2015;3,23;3,25;3,15;3,24;3,24;564700
17/12/2015;3,24;3,3;3,15;3,15;3,15;550700
18/12/2015;3,16;3,16;2,9;2,95;2,95;1793200
21/12/2015;2,95;2,99;2,79;2,8;2,8;1275200
22/12/2015;2,82;2,83;2,46;2,49;2,49;2890400
23/12/2015;2,54;2,58;2,36;2,46;2,46;2612400
28/12/2015;2,47;2,5;2,33;2,39;2,39;1577300
29/12/2015;2,39;2,43;2,33;2,39;2,39;1287000
30/12/2015;2,39;2,53;2,35;2,52;2,52;3408900
04/01/2016;2,42;2,53;2,4;2,41;2,41;1204200
05/01/2016;2,47;2,56;2,23;2,25;2,25;3266600
06/01/2016;2,25;2,26;1,99;2;2;2430600
07/01/2016;1,95;1,95;1,83;1,87;1,87;1075100
08/01/2016;1,9;1,94;1,75;1,79;1,79;1331000
11/01/2016;1,78;1,84;1,68;1,69;1,69;1691300
12/01/2016;1,68;1,71;1,58;1,61;1,61;1943000
13/01/2016;1,61;1,65;1,44;1,44;1,44;1722300
14/01/2016;1,44;1,46;1,27;1,31;1,31;1936500
15/01/2016;1,29;1,31;1,24;1,27;1,27;1383800
18/01/2016;1,28;1,39;1,25;1,3;1,3;1791800
19/01/2016;1,35;1,46;1,26;1,27;1,27;2824900
20/01/2016;1,32;1,4;1,25;1,28;1,28;5715200
21/01/2016;1,29;1,34;1,18;1,18;1,18;4597700
22/01/2016;1,2;1,26;1,14;1,16;1,16;3830600
26/01/2016;1,16;1,18;1,13;1,17;1,17;1965800
27/01/2016;1,17;1,23;1,16;1,19;1,19;1222700
28/01/2016;1,2;1,23;1,17;1,2;1,2;983500
29/01/2016;1,23;1,61;1,2;1,53;1,53;4372600
01/02/2016;1,8;2,3;1,8;2,3;2,3;13344400
02/02/2016;2,16;2,95;1,95;1,95;1,95;15449900
03/02/2016;1,86;2,24;1,83;2,16;2,16;10371700
04/02/2016;2,29;2,44;2,2;2,32;2,32;7444900
05/02/2016;2,3;2,45;2,14;2,22;2,22;5391000
10/02/2016;2,15;2,15;2,01;2,03;2,03;2070800
11/02/2016;2,03;2,08;1,88;1,95;1,95;3881000
12/02/2016;1,96;2,08;1,96;1,99;1,99;1965900
15/02/2016;2,04;2,07;1,91;1,91;1,91;1688100
16/02/2016;1,93;1,97;1,85;1,93;1,93;2378900
17/02/2016;1,94;1,99;1,88;1,88;1,88;2232400
18/02/2016;1,87;1,92;1,78;1,85;1,85;2211100
19/02/2016;1,8;1,84;1,78;1,8;1,8;885500
22/02/2016;1,87;1,99;1,86;1,98;1,98;1949300
23/02/2016;1,98;2,14;1,94;1,97;1,97;3250700
24/02/2016;1,93;1,98;1,86;1,93;1,93;1903400
