Data;Open;High;Low;Close;Adj Close;Volume
30/11/2015;2,35;2,35;2,35;2,35;2,088371;0
01/12/2015;2,35;2,35;2,35;2,35;2,088371;0
02/12/2015;2,35;2,35;2,35;2,35;2,088371;0
03/12/2015;2,35;2,35;2,35;2,35;2,088371;0
04/12/2015;2,35;2,35;2,35;2,35;2,088371;0
07/12/2015;2,35;2,35;2,35;2,35;2,088371;0
08/12/2015;2,35;2,35;2,35;2,35;2,088371;0
09/12/2015;2,35;2,35;2,35;2,35;2,088371;0
10/12/2015;2,35;2,35;2,35;2,35;2,088371;0
11/12/2015;2,35;2,35;2,35;2,35;2,088371;0
14/12/2015;2,35;2,35;2,35;2,35;2,088371;0
15/12/2015;2,35;2,35;2,35;2,35;2,088371;0
16/12/2015;2,35;2,35;2,35;2,35;2,088371;0
17/12/2015;2,35;2,35;2,35;2,35;2,088371;0
18/12/2015;2,35;2,35;2,35;2,35;2,088371;0
21/12/2015;2,35;2,35;2,35;2,35;2,088371;0
22/12/2015;2,35;2,35;2,35;2,35;2,088371;0
23/12/2015;2,35;2,35;2,35;2,35;2,088371;0
28/12/2015;2,35;2,35;2,35;2,35;2,088371;0
29/12/2015;2,35;2,35;2,35;2,35;2,088371;0
30/12/2015;2,35;2,35;2,35;2,35;2,088371;0
04/01/2016;2,35;2,35;2,35;2,35;2,088371;0
05/01/2016;2,35;2,35;2,35;2,35;2,088371;0
06/01/2016;2,35;2,35;2,35;2,35;2,088371;0
07/01/2016;2,35;2,35;2,35;2,35;2,088371;0
08/01/2016;2,35;2,35;2,35;2,35;2,088371;0
11/01/2016;2,35;2,35;2,35;2,35;2,088371;0
12/01/2016;2,35;2,35;2,35;2,35;2,088371;0
13/01/2016;2,35;2,35;2,35;2,35;2,088371;0
14/01/2016;2,35;2,35;2,35;2,35;2,088371;0
15/01/2016;2,35;2,35;2,35;2,35;2,088371;0
18/01/2016;2,35;2,35;2,35;2,35;2,088371;0
19/01/2016;2,35;2,35;2,35;2,35;2,088371;0
20/01/2016;2,35;2,35;2,35;2,35;2,088371;0
21/01/2016;2,35;2,35;2,35;2,35;2,088371;0
22/01/2016;2,35;2,35;2,35;2,35;2,088371;0
26/01/2016;2,35;2,35;2,35;2,35;2,088371;0
27/01/2016;2,35;2,35;2,35;2,35;2,088371;0
28/01/2016;2,35;2,35;2,35;2,35;2,088371;0
29/01/2016;2,35;2,35;2,35;2,35;2,088371;0
01/02/2016;2,35;2,35;2,35;2,35;2,088371;0
02/02/2016;2,35;2,35;2,35;2,35;2,088371;0
03/02/2016;2,35;2,35;2,35;2,35;2,088371;0
04/02/2016;2,35;2,35;2,35;2,35;2,088371;0
05/02/2016;2,35;2,35;2,35;2,35;2,088371;0
10/02/2016;2,35;2,35;2,35;2,35;2,088371;0
11/02/2016;2,35;2,35;2,35;2,35;2,088371;0
12/02/2016;2,35;2,35;2,35;2,35;2,088371;0
15/02/2016;2,35;2,35;2,35;2,35;2,088371;0
16/02/2016;2,35;2,35;2,35;2,35;2,088371;0
17/02/2016;2,35;2,35;2,35;2,35;2,088371;0
18/02/2016;2,35;2,35;2,35;2,35;2,088371;0
19/02/2016;2,35;2,35;2,35;2,35;2,088371;0
22/02/2016;2,35;2,35;2,35;2,35;2,088371;0
23/02/2016;2,35;2,35;2,35;2,35;2,088371;0
24/02/2016;2,35;2,35;2,35;2,35;2,088371;0
25/02/2016;2,35;2,35;2,35;2,35;2,088371;0
26/02/2016;2,35;2,35;2,35;2,35;2,088371;0
29/02/2016;2,35;2,35;2,35;2,35;2,088371;0
01/03/2016;2,35;2,35;2,35;2,35;2,088371;0
02/03/2016;2,35;2,35;2,35;2,35;2,088371;0
03/03/2016;2,35;2,35;2,35;2,35;2,088371;0
04/03/2016;2,35;2,35;2,35;2,35;2,088371;0
07/03/2016;2,35;2,35;2,35;2,35;2,088371;0
08/03/2016;2,35;2,35;2,35;2,35;2,088371;0
09/03/2016;2,35;2,35;2,35;2,35;2,088371;0
10/03/2016;2,35;2,35;2,35;2,35;2,088371;0
11/03/2016;2,35;2,35;2,35;2,35;2,088371;0
14/03/2016;2,35;2,35;2,35;2,35;2,088371;0
15/03/2016;2,35;2,35;2,35;2,35;2,088371;0
16/03/2016;2,35;2,35;2,35;2,35;2,088371;0
17/03/2016;2,35;2,35;2,35;2,35;2,088371;0
18/03/2016;2,35;2,35;2,35;2,35;2,088371;0
21/03/2016;2,35;2,35;2,35;2,35;2,088371;0
22/03/2016;2,35;2,35;2,35;2,35;2,088371;0
23/03/2016;2,35;2,35;2,35;2,35;2,088371;0
24/03/2016;2,35;2,35;2,35;2,35;2,088371;0
28/03/2016;2,35;2,35;2,35;2,35;2,088371;0
29/03/2016;2,35;2,35;2,35;2,35;2,088371;0
30/03/2016;2,35;2,35;2,35;2,35;2,088371;0
31/03/2016;2,35;2,35;2,35;2,35;2,088371;0
01/04/2016;2,35;2,35;2,35;2,35;2,088371;0
04/04/2016;2,35;2,35;2,35;2,35;2,088371;0
05/04/2016;2,35;2,35;2,35;2,35;2,088371;0
06/04/2016;2,35;2,35;2,35;2,35;2,088371;0
07/04/2016;2,35;2,35;2,35;2,35;2,088371;0
08/04/2016;2,35;2,35;2,35;2,35;2,088371;0
