Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-01,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-02,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-03,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-04,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-07,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-08,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-09,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-10,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-11,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-14,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-15,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-16,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-17,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-18,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-21,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-22,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-23,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-28,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-29,"2,35","2,35","2,35","2,35","2,088371",0
2015-12-30,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-04,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-05,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-06,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-07,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-08,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-11,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-12,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-13,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-14,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-15,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-18,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-19,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-20,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-21,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-22,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-26,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-27,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-28,"2,35","2,35","2,35","2,35","2,088371",0
2016-01-29,"2,35","2,35","2,35","2,35","2,088371",0
2016-02-01,"2,35","2,35","2,35","2,35","2,088371",0
2016-02-02,"2,35","2,35","2,35","2,35","2,088371",0
2016-02-03,"2,35","2,35","2,35","2,35","2,088371",0
2016-02-04,"2,35","2,35","2,35","2,35","2,088371",0
