Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,0.039257,0.039335,0.034492,0.034492,-0.007627,89088000
2015-12-01,0.035507,0.035546,0.031250,0.031250,-0.006910,88832000
2015-12-02,0.031796,0.032695,0.031015,0.031562,-0.006979,63923200
2015-12-03,0.032031,0.034414,0.031835,0.033867,-0.007489,67507200
2015-12-04,0.033867,0.033867,0.031289,0.031289,-0.006919,48512000
2015-12-07,0.031757,0.033164,0.031250,0.032773,-0.007247,58368000
2015-12-08,0.032734,0.032734,0.030820,0.031054,-0.006867,56908800
2015-12-09,0.031523,0.033203,0.031289,0.031679,-0.007005,107827200
2015-12-10,0.032617,0.035468,0.031250,0.033203,-0.007342,128000000
2015-12-11,0.032617,0.032695,0.031328,0.031367,-0.006936,56729600
2015-12-14,0.031445,0.031757,0.030390,0.030585,-0.006763,78899200
2015-12-15,0.032656,0.039062,0.032617,0.034375,-0.007601,314342400
2015-12-16,0.034765,0.036250,0.033789,0.035859,-0.007930,101990400
2015-12-17,0.035976,0.041796,0.035976,0.041406,-0.009156,228249600
2015-12-18,0.041601,0.043750,0.039921,0.041015,-0.009070,236185600
2015-12-21,0.042578,0.042812,0.039414,0.039453,-0.008724,62873600
2015-12-22,0.039687,0.042539,0.039453,0.042500,-0.009398,120652800
2015-12-23,0.042578,0.046093,0.042578,0.046093,-0.010193,93337600
2015-12-28,0.046093,0.063281,0.046093,0.063281,-0.013994,256563200
2015-12-29,0.065234,0.070312,0.060351,0.070117,-0.015505,430464000
2015-12-30,0.067382,0.069765,0.064921,0.068945,-0.015246,197657600
2016-01-04,0.066210,0.071484,0.064921,0.070117,-0.015505,138547200
2016-01-05,0.071523,0.072578,0.070117,0.070820,-0.015661,96179200
2016-01-06,0.070820,0.071484,0.064687,0.064687,-0.014304,117324800
2016-01-07,0.062500,0.062500,0.051171,0.056093,-0.012404,226688000
2016-01-08,0.058593,0.059570,0.055664,0.056328,-0.012456,97638400
2016-01-11,0.056601,0.058789,0.054765,0.056328,-0.012456,34048000
2016-01-12,0.057343,0.057343,0.052773,0.053125,-0.011748,23526400
2016-01-13,0.053359,0.054687,0.050000,0.052773,-0.011670,51174400
2016-01-14,0.052148,0.055429,0.049218,0.055429,-0.012257,41369600
2016-01-15,0.054726,0.056250,0.053554,0.056250,-0.012439,23603200
2016-01-18,0.056679,0.060234,0.055468,0.055468,-0.012266,34790400
2016-01-19,0.056054,0.058398,0.054296,0.054296,-0.012007,19635200
2016-01-20,0.053867,0.054570,0.051953,0.053906,-0.011920,21555200
2016-01-21,0.053710,0.055429,0.053515,0.053515,-0.011834,15308800
2016-01-22,0.054296,0.054726,0.049804,0.049804,-0.011013,17254400
2016-01-26,0.049804,0.051484,0.049726,0.050039,-0.011065,27008000
2016-01-27,0.050468,0.051679,0.050429,0.050703,-0.011212,12851200
2016-01-28,0.050703,0.051835,0.050195,0.050195,-0.011100,9036800
2016-01-29,0.051132,0.056914,0.050429,0.055273,-0.012223,37350400
2016-02-01,0.055273,0.056835,0.054375,0.056835,-0.012568,19712000
2016-02-02,0.056445,0.058906,0.054687,0.054687,-0.012093,25318400
2016-02-03,0.055625,0.056640,0.054101,0.056640,-0.012525,15820800
2016-02-04,0.057421,0.059570,0.056250,0.056835,-0.012568,17740800
2016-02-05,0.056835,0.057968,0.053710,0.053984,-0.011938,21504000
2016-02-10,0.053906,0.053906,0.051953,0.052500,-0.011609,10368000
2016-02-11,0.051718,0.051914,0.049453,0.049453,-0.010936,18636800
2016-02-12,0.049687,0.059492,0.049687,0.059492,-0.013156,62336000
2016-02-15,0.060351,0.069492,0.060351,0.067773,-0.014987,60006400
2016-02-16,0.069062,0.074804,0.068046,0.074335,-0.016438,77465600
2016-02-17,0.074453,0.076875,0.066210,0.066210,-0.014641,86144000
2016-02-18,0.066210,0.070156,0.063710,0.069648,-0.015401,65868800
2016-02-19,0.069531,0.072070,0.069140,0.070312,-0.015548,36352000
2016-02-22,0.071875,0.072890,0.069882,0.071328,-0.015773,17715200
2016-02-23,0.071562,0.074179,0.070117,0.074179,-0.016403,32179200
2016-02-24,0.072460,0.075585,0.071484,0.074218,-0.016412,31846400
2016-02-25,0.073085,0.075195,0.073085,0.073125,-0.016170,20966400
2016-02-26,0.074296,0.075937,0.073789,0.074218,-0.016412,24396800
2016-02-29,0.074218,0.083554,0.074218,0.076953,-0.017017,50918400
2016-03-01,0.077929,0.083945,0.075898,0.081250,-0.017967,74854400
2016-03-02,0.082421,0.087109,0.082109,0.086367,-0.019099,60953600
2016-03-03,0.087695,0.099843,0.086953,0.098281,-0.021733,72012800
2016-03-04,0.101562,0.105703,0.095703,0.098828,-0.021854,54681600
