Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,"9,25","9,71","9,12","9,41","8,823994",31244800
2015-12-01,"9,35","9,56","9,21","9,24","8,66458",13847500
2015-12-02,"9,27","9,47","9,1","9,47","8,88026",18471600
2015-12-03,"9,94","10,3","9,62","9,8","9,189707",25525400
2015-12-04,"9,75",10,"9,05","9,13","8,56143",22133300
2015-12-07,"9,21","9,27","8,62","8,64","8,101947",15425300
2015-12-08,"8,65","8,74","8,36","8,54","8,008173",12474800
2015-12-09,"8,9","9,65","8,78","9,46","8,87088",23192200
2015-12-10,"9,3","9,46","9,07","9,2","8,627071",23037500
2015-12-11,"9,02","9,39","8,84","8,85","8,298869",20315400
2015-12-14,"8,79","8,93","8,61","8,77","8,22385",12345400
2015-12-15,"8,89","9,14","8,88","9,1","8,533298",8283500
2015-12-16,"8,99","9,09","8,74","8,95","8,392641",9814000
2015-12-17,"9,2","9,36","8,82","8,82","8,270737",11469100
2015-12-18,"8,51","8,84","8,51","8,66","8,120701",16447100
2015-12-21,"8,67","8,75","8,18","8,31","7,792497",10087400
2015-12-22,"8,41","8,6","8,19","8,54","8,008173",7498300
2015-12-23,"8,74","8,98","8,7","8,88","8,327",11095900
2015-12-28,"8,87","8,87","8,57","8,61","8,073812",5461400
2015-12-29,"8,71","8,89","8,51","8,57","8,036304",5183400
2015-12-30,"8,57","8,63","8,37","8,57","8,036304",8649000
2016-01-04,"8,31","8,96","8,31","8,67","8,130077",16912500
2016-01-05,"8,73","8,89","8,35","8,45","7,923778",9146500
2016-01-06,"8,22","8,25","8,06","8,06","7,558065",9908400
2016-01-07,"7,72","8,07","7,65","7,83","7,342388",10777500
2016-01-08,8,"8,04","7,68","7,86","7,370519",10759800
2016-01-11,"7,89","7,89","7,52","7,58","7,107957",8459800
2016-01-12,"7,62","7,64","6,83",7,"6,564076",15797700
2016-01-13,"7,18","7,28","6,8","6,8","6,376531",14299300
2016-01-14,"6,8","7,28","6,6","7,23","6,779753",14608000
2016-01-15,"6,94","7,04","6,61","6,71","6,292136",16477400
2016-01-18,"6,76","6,77","6,3","6,3","5,907669",5738000
2016-01-19,"6,68","6,68","6,15","6,15","5,76701",13364200
2016-01-20,"5,93","5,99","5,67","5,93","5,56071",12696100
2016-01-21,"5,94","6,47","5,91","6,29","5,898291",19709900
2016-01-22,"6,6","6,76","6,21","6,21","5,823274",26399700
2016-01-26,"6,1","6,24","5,86","5,96","5,588843",13040400
2016-01-27,"5,98","6,79","5,9","6,54","6,132723",21493300
2016-01-28,"6,7","7,36","6,23","6,52","6,113968",25596800
2016-01-29,"6,61","6,97","6,41","6,93","6,498435",29053400
2016-02-01,"6,81","7,04","6,55","6,58","6,170231",17751700
2016-02-02,"6,38","6,55","6,02","6,02","5,645106",13664300
2016-02-03,"6,1","6,32","5,93","6,18","5,795141",15966400
2016-02-04,"6,3",7,"6,06","6,67","6,254628",27839800
2016-02-05,"6,61","6,82","6,39","6,39","5,992064",14089800
2016-02-10,"6,04","6,21","6,02","6,12","5,738878",11824000
2016-02-11,"5,89","6,05","5,78","5,91","5,541955",12812600
2016-02-12,"6,17","6,42","6,06","6,31","5,917045",14200200
2016-02-15,"6,52","6,6","6,43","6,43","6,029573",3822100
2016-02-16,"6,44","6,66","6,29","6,29","5,898291",13694000
2016-02-17,"6,41","6,97","6,41","6,78","6,357777",24782600
2016-02-18,"6,8","7,07","6,58","6,6","6,188986",14730400
2016-02-19,"6,53","6,55","6,31","6,38","5,982687",10001500
2016-02-22,"6,71","7,42","6,65","7,41","6,948543",22126000
2016-02-23,"7,26","7,75","7,03","7,08","6,639094",20439100
2016-02-24,"6,83","7,15","6,74","7,03","6,592208",14172300
2016-02-25,"6,96","7,3","6,85","6,98","6,545322",13320200
2016-02-26,"7,24","7,35","6,87","6,89","6,460926",10907400
2016-02-29,"7,15","7,48","7,1","7,35","6,89228",17867800
2016-03-01,"7,59","7,67","7,21","7,57","7,098579",21920700
2016-03-02,"7,47","8,14","7,38","8,1","7,595573",19386300
2016-03-03,"8,3","9,36","8,23","9,11","8,542678",50863300
2016-03-04,"9,11","10,51","9,11","9,98","9,358498",52918800
2016-03-07,"10,2","10,4","9,67","9,91","9,292857",22803500
2016-03-08,"9,9","10,52","9,37","9,65","9,049048",35828200
2016-03-09,"9,96","10,09","9,4","9,56","8,964654",28823300
2016-03-10,"9,83","9,94","9,23","9,81","9,199083",31324900
2016-03-11,"9,8","10,25","9,57","10,09","9,461648",14230000
2016-03-14,"10,16","10,19","9,52","9,54","8,945897",16408600
2016-03-15,"8,99","9,17","8,71","8,91","8,355131",26944700
2016-03-16,"8,91","9,69","8,77","9,6","9,002162",21836600
2016-03-17,"10,52","10,66","10,02","10,44","9,78985",36588400
2016-03-18,"10,55","10,59","9,84","10,3","9,65857",27464600
2016-03-21,"10,19","10,49","10,03","10,25","9,611684",10381000
2016-03-22,10,"10,59","9,85","10,48","9,82736",21415900
2016-03-23,"10,2","10,33","9,86","9,92","9,302235",14058300
