Date;Open; High ; Low ; Close ; Adj Close ;Volume
01/12/2015;3,87;3,9;3,83;3,87;3,87;0
02/12/2015;3,85;3,86;3,84;3,85;3,85;0
03/12/2015;3,83;3,83;3,77;3,83;3,83;0
04/12/2015;3,76;3,78;3,72;3,76;3,76;0
07/12/2015;3,76;3,77;3,73;3,75;3,75;0
08/12/2015;3,76;3,82;3,74;3,76;3,76;0
09/12/2015;3,82;3,82;3,72;3,81;3,81;0
10/12/2015;3,74;3,78;3,74;3,74;3,74;0
11/12/2015;3,81;3,88;3,8;3,81;3,81;0
14/12/2015;3,87;3,92;3,86;3,81;3,81;0
15/12/2015;3,88;3,89;3,85;3,88;3,88;0
16/12/2015;3,91;3,96;3,9;3,91;3,91;0
17/12/2015;3,89;3,91;3,86;3,89;3,89;0
18/12/2015;3,88;3,93;3,87;3,88;3,88;0
21/12/2015;3,98;4,04;3,96;3,98;3,98;0
22/12/2015;4,01;4,01;3,96;4,01;4,01;0
23/12/2015;3,98;3,99;3,95;3,99;3,99;0
24/12/2015;3,94;3,94;3,93;3,94;3,94;0
25/12/2015;3,91;3,91;3,91;3,91;3,91;0
28/12/2015;3,91;3,96;3,88;3,91;3,91;0
29/12/2015;3,86;3,87;3,84;3,86;3,86;0
30/12/2015;3,86;4;3,85;3,86;3,86;0
31/12/2015;3,96;3,96;3,96;3,96;3,96;0
01/01/2016;3,95;3,95;3,95;3,95;3,95;0
04/01/2016;3,96;4,06;3,96;3,95;3,95;0
05/01/2016;4,04;4,05;4;4,04;4,04;0
06/01/2016;4,03;4,05;4,01;4,03;4,03;0
07/01/2016;4,02;4,07;4,02;4,02;4,02;0
08/01/2016;4,04;4,04;4;4,04;4,04;0
11/01/2016;4,02;4,05;3,99;3,99;3,99;0
12/01/2016;4,05;4,05;4,01;4,05;4,05;0
13/01/2016;4,03;4,03;3,97;4,03;4,03;0
14/01/2016;4,01;4,04;3,99;4,01;4,01;0
15/01/2016;4,01;4,06;4;4,01;4,01;0
18/01/2016;4,04;4,05;4,01;4;4;0
19/01/2016;4,05;4,06;4;4,05;4,05;0
20/01/2016;4,06;4,11;4,06;4,06;4,06;0
21/01/2016;4,1;4,17;4,1;4,1;4,1;0
22/01/2016;4,15;4,15;4,1;4,15;4,15;0
25/01/2016;4,09;4,09;4,09;4,09;4,09;0
26/01/2016;4,09;4,12;4,06;4,09;4,09;0
27/01/2016;4,07;4,07;4,03;4,07;4,07;0
28/01/2016;4,11;4,12;4,03;4,1;4,1;0
29/01/2016;4,07;4,09;4;4,07;4,07;0
01/02/2016;3,99;4,02;3,96;4;4;0
02/02/2016;3,96;4,01;3,95;3,96;3,96;0
03/02/2016;3,99;3,99;3,94;3,99;3,99;0
04/02/2016;3,89;3,89;3,84;3,89;3,89;0
05/02/2016;3,89;3,92;3,86;3,89;3,89;0
08/02/2016;3,89;3,9;3,88;3,9;3,9;0
09/02/2016;3,89;3,9;3,89;3,89;3,89;0
10/02/2016;3,88;3,94;3,86;3,88;3,88;0
11/02/2016;3,93;3,98;3,92;3,93;3,93;0
12/02/2016;3,99;4;3,97;3,99;3,99;0
15/02/2016;4,01;4,01;3,97;3,97;3,97;0
16/02/2016;4;4,06;3,97;4;4;0
17/02/2016;4,06;4,07;3,98;4,06;4,06;0
18/02/2016;3,98;4,03;3,97;3,98;3,98;0
19/02/2016;4,02;4,06;4,02;4,02;4,02;0
22/02/2016;4,03;4,03;3,94;4,02;4,02;0
23/02/2016;3,94;3,97;3,94;3,94;3,94;0
24/02/2016;3,95;4;3,95;3,95;3,95;0
25/02/2016;3,96;3,96;3,92;3,95;3,95;0
26/02/2016;3,95;3,98;3,93;3,95;3,95;0
29/02/2016;3,99;3,99;3,95;3,96;3,96;0
01/03/2016;4,01;4,01;3,97;4,01;4,01;0
02/03/2016;3,92;3,94;3,89;3,92;3,92;0
03/03/2016;3,89;3,89;3,83;3,89;3,89;0
04/03/2016;3,8;3,8;3,65;3,8;3,8;0
07/03/2016;3,75;3,78;3,73;3,77;3,77;0
08/03/2016;3,78;3,8;3,76;3,78;3,78;0
09/03/2016;3,75;3,75;3,68;3,75;3,75;0
