data;BRFS3;CVCB3;CYRE3;FLRY3;GOLL4;ITUB4;KLBN3;MGLU3;PETR3;TAE11;SPXI11
01/12/2015;54,77;13,83;7,51;7,95;3,37;16,96;2,35;0,04;9,25;17,72;81,77
02/12/2015;54,69;13,97;7,87;7,96;3,47;16,42;2,35;0,03;9,35;17,59;81,33
03/12/2015;55,21;13,87;7,88;8;3,57;17,47;2,35;0,03;9,27;17,78;79,1
04/12/2015;55,66;13,62;7,71;8;3,49;17,08;2,35;0,03;9,94;18,01;79,99
07/12/2015;56,32;13,8;7,74;8;3,44;16,95;2,35;0,03;9,75;18,14;79,9
08/12/2015;56,06;13,35;7,75;7,91;3,41;16,76;2,35;0,03;9,21;18,06;80,4
09/12/2015;56,44;13,11;7,9;7,98;3,51;17,67;2,35;0,03;8,65;17,38;78,12
10/12/2015;56,03;13,06;7,89;7,81;3,34;17,45;2,35;0,03;8,9;17,43;79,29
11/12/2015;55,95;13,4;7,9;7,73;3,33;17,45;2,35;0,03;9,3;17,25;79,66
14/12/2015;55,55;13,45;7,71;7,5;3,35;17,04;2,35;0,03;9,02;17,12;79,57
15/12/2015;55,01;13,16;7,82;7,6;3,24;17,15;2,35;0,03;8,79;17,15;80,99
16/12/2015;55,41;12,94;7,81;7,73;3,24;17,04;2,35;0,03;8,89;16,74;82,4
17/12/2015;55,79;13,09;7,84;7,66;3,15;17,33;2,35;0,04;8,99;17,04;81,44
18/12/2015;55,67;13,41;7,56;7,63;2,95;16,32;2,35;0,04;9,2;16,76;80,78
21/12/2015;56,42;12,84;7,5;7,4;2,8;16,02;2,35;0,04;8,51;16,26;81,81
22/12/2015;57,42;12,52;7,42;7,55;2,49;16,12;2,35;0,04;8,67;16,29;82,15
23/12/2015;57,5;12,35;7,4;7,5;2,46;16,06;2,35;0,04;8,41;16,4;82,15
28/12/2015;57,43;12,35;7,43;7,48;2,39;16;2,35;0,05;8,74;16,74;80,35
29/12/2015;55,79;12,59;7,4;7,68;2,39;16,01;2,35;0,07;8,87;16,72;81,5
30/12/2015;53,89;13,08;7,5;8;2,52;15,96;2,35;0,07;8,71;16,6;83,1
04/01/2016;53,42;13,24;7,28;7,63;2,41;15,23;2,35;0,07;8,57;16,63;82,35
05/01/2016;54,43;12,75;7,61;7,72;2,25;15,36;2,35;0,07;8,31;16,26;83
06/01/2016;53,35;12,28;7,32;7,68;2;15,3;2,35;0,07;8,73;15,92;81,65
07/01/2016;51,25;12,09;7,36;7,69;1,87;15,01;2,35;0,06;8,22;15,83;80,25
08/01/2016;52,24;12,16;7,5;7,72;1,79;15,01;2,35;0,06;7,72;15,43;79,5
11/01/2016;51,01;12,06;7,49;7,67;1,69;14,84;2,35;0,06;8;15,96;78,49
12/01/2016;49,53;12,28;7,54;7,51;1,61;14,9;2,35;0,06;7,89;16,3;78,97
13/01/2016;48,85;12,69;7,59;7,53;1,44;14,67;2,35;0,05;7,62;16,25;77,18
14/01/2016;48,78;12,45;7,45;7,53;1,31;14,88;2,35;0,05;7,18;16,24;78,42
15/01/2016;47,34;12,31;7,25;7,5;1,27;14,5;2,35;0,05;6,8;16,24;76,85
18/01/2016;46,04;12,3;7,13;7,26;1,3;14,33;2,35;0,06;6,94;15,7;76,77
19/01/2016;46,45;12,49;7,3;7,5;1,27;14,18;2,35;0,06;6,76;15,71;77,84
20/01/2016;46,31;12,31;7,22;7,4;1,28;13,98;2,35;0,05;6,68;15,64;77,82
21/01/2016;46,31;12,4;7,3;7,27;1,18;14,01;2,35;0,05;5,93;15,05;78,79
22/01/2016;46,31;12,64;7,21;7,18;1,16;14,15;2,35;0,05;5,94;15,51;79,41
26/01/2016;44,95;12,9;6,95;7,04;1,17;14,3;2,35;0,05;6,6;15,49;78,24
27/01/2016;45,85;12,37;7,21;7,13;1,19;14,35;2,35;0,05;6,1;15,7;78,53
28/01/2016;45,47;13,06;7,05;7,04;1,2;14,45;2,35;0,05;5,98;16,49;78,35
29/01/2016;47,52;12,82;7,15;7,3;1,53;15,12;2,35;0,05;6,7;17,01;78,32
01/02/2016;47,91;12,6;7,3;7,47;2,3;15,44;2,35;0,06;6,61;17,27;78,3
02/02/2016;47,14;12,49;7,35;7,45;1,95;14,33;2,35;0,06;6,81;17,61;77,14
03/02/2016;48,62;12,51;7,35;7,35;2,16;14,67;2,35;0,06;6,38;17,05;75,57
04/02/2016;49,19;12,32;7,6;7,19;2,32;14,88;2,35;0,06;6,1;17,07;75,38
05/02/2016;50,06;12,6;7,91;7,33;2,22;15,03;2,35;0,06;6,3;17,58;74,57
10/02/2016;49,95;12,02;7,94;7,21;2,03;15,1;2,35;0,05;6,61;17,54;74,71
11/02/2016;48,94;11,21;7,77;7,17;1,95;14,65;2,35;0,05;6,04;17,74;74,33
